,UtcTime,ProcessId,EventID,User,Image,ImageLoaded,CommandLine,ParentImage,ParentCommandLine,DestinationPort,Protocol,QueryName,TargetFilename,TargetObject
2306,2020-05-12 14:56:27.340,10280,7,,C:\Windows\System32\schtasks.exe,C:\Windows\System32\taskschd.dll,,,,,,,,
2307,2020-05-12 14:56:27.340,10280,7,,C:\Windows\System32\schtasks.exe,C:\Windows\System32\clbcatq.dll,,,,,,,,
2308,2020-05-12 14:56:27.340,10280,7,,C:\Windows\System32\schtasks.exe,C:\Windows\System32\sechost.dll,,,,,,,,
2309,2020-05-12 14:56:27.324,10280,7,,C:\Windows\System32\schtasks.exe,C:\Windows\System32\schtasks.exe,,,,,,,,
2310,2020-05-12 14:56:27.340,10280,7,,C:\Windows\System32\schtasks.exe,C:\Windows\System32\kernel.appcore.dll,,,,,,,,
2311,2020-05-12 14:56:27.324,10280,7,,C:\Windows\System32\schtasks.exe,C:\Windows\System32\bcryptprimitives.dll,,,,,,,,
2312,2020-05-12 14:56:27.324,10280,7,,C:\Windows\System32\schtasks.exe,C:\Windows\System32\rpcrt4.dll,,,,,,,,
2313,2020-05-12 14:56:27.324,10280,7,,C:\Windows\System32\schtasks.exe,C:\Windows\System32\combase.dll,,,,,,,,
2314,2020-05-12 14:56:27.324,10280,7,,C:\Windows\System32\schtasks.exe,C:\Windows\System32\ucrtbase.dll,,,,,,,,
2315,2020-05-12 14:56:27.324,10280,7,,C:\Windows\System32\schtasks.exe,C:\Windows\System32\msvcp_win.dll,,,,,,,,
2316,2020-05-12 14:56:27.324,10280,7,,C:\Windows\System32\schtasks.exe,C:\Windows\System32\oleaut32.dll,,,,,,,,
2317,2020-05-12 14:56:27.324,10280,7,,C:\Windows\System32\schtasks.exe,C:\Windows\System32\msvcrt.dll,,,,,,,,
2318,2020-05-12 14:56:27.324,10280,7,,C:\Windows\System32\schtasks.exe,C:\Windows\System32\KernelBase.dll,,,,,,,,
2319,2020-05-12 14:56:27.324,10280,7,,C:\Windows\System32\schtasks.exe,C:\Windows\System32\kernel32.dll,,,,,,,,
2320,2020-05-12 14:56:27.324,10280,7,,C:\Windows\System32\schtasks.exe,C:\Windows\System32\ntdll.dll,,,,,,,,
